iter	Passed	Remaining
0	2	252
1	4	229
2	7	238
3	8	215
4	11	223
5	14	223
6	17	226
7	19	223
8	22	222
9	24	221
10	27	218
11	29	216
12	31	212
13	33	208
14	36	205
15	38	202
16	40	199
17	42	195
18	44	191
19	47	191
20	50	189
21	52	185
22	54	181
23	56	178
24	58	174
25	60	172
26	62	168
27	63	163
28	65	160
29	67	157
30	69	154
31	71	152
32	73	149
33	75	145
34	76	142
35	78	139
36	80	136
37	82	133
38	83	130
39	85	127
40	86	124
41	87	121
42	89	119
43	91	116
44	94	115
45	96	112
46	98	111
47	101	109
48	103	107
49	105	105
50	107	103
51	109	100
52	111	98
53	112	95
54	113	92
55	115	90
56	117	88
57	118	85
58	120	83
59	122	81
60	124	79
61	125	77
62	127	75
63	130	73
64	132	71
65	134	69
66	135	66
67	137	64
68	138	62
69	140	60
70	141	57
71	143	55
72	145	53
73	147	51
74	149	49
75	150	47
76	152	45
77	154	43
78	156	41
79	158	39
80	160	37
81	162	35
82	163	33
83	165	31
84	167	29
85	168	27
86	170	25
87	172	23
88	173	21
89	175	19
90	176	17
91	178	15
92	180	13
93	181	11
94	183	9
95	184	7
96	185	5
97	187	3
98	189	1
99	191	0
